job_id,topology,p_ws,gamma,epsilon,init_dist,run,n_clusters,polarised,std_opinion,mean_cluster_size,max_cluster_frac,convergence_step
189,ws,0.0,0.0,0.2,bimodal,39,3,True,0.300472384897847,333.3333333333333,0.5,1000
190,ws,0.0,0.0,0.2,bimodal,40,2,True,0.30132412242386825,500.0,0.5,1000
191,ws,0.0,0.0,0.2,bimodal,41,2,True,0.30601451066660407,500.0,0.5,1000
192,ws,0.0,0.0,0.2,bimodal,42,2,True,0.29783003686988063,500.0,0.5,1000
193,ws,0.0,0.0,0.2,bimodal,43,2,True,0.30115203314691513,500.0,0.5,1000
194,ws,0.0,0.0,0.2,bimodal,44,2,True,0.2977765273215539,500.0,0.5,1000
195,ws,0.0,0.0,0.2,bimodal,45,2,True,0.301687569885151,500.0,0.5,1000
196,ws,0.0,0.0,0.2,bimodal,46,2,True,0.29928355600876544,500.0,0.5,1000
197,ws,0.0,0.0,0.2,bimodal,47,3,True,0.3024751765515426,333.3333333333333,0.5,1000
198,ws,0.0,0.0,0.2,bimodal,48,2,True,0.29992547513898254,500.0,0.5,1000
199,ws,0.0,0.0,0.2,bimodal,49,2,True,0.29839269777614463,500.0,0.5,1000
200,ws,0.0,0.0,0.3,uniform,0,4,True,0.17009902602498286,250.0,0.721,7000
201,ws,0.0,0.0,0.3,uniform,1,4,True,0.1658814331101555,250.0,0.732,6000
202,ws,0.0,0.0,0.3,uniform,2,4,True,0.19644674973263684,250.0,0.56,3000
203,ws,0.0,0.0,0.3,uniform,3,3,True,0.18437521717107014,333.3333333333333,0.692,5000
204,ws,0.0,0.0,0.3,uniform,4,4,True,0.20555747460571874,250.0,0.585,4000
205,ws,0.0,0.0,0.3,uniform,5,4,True,0.18538583072595005,250.0,0.64,6000
206,ws,0.0,0.0,0.3,uniform,6,3,True,0.2101392660379865,333.3333333333333,0.653,5000
207,ws,0.0,0.0,0.3,uniform,7,3,True,0.18532423298465334,333.3333333333333,0.731,5000
208,ws,0.0,0.0,0.3,uniform,8,3,True,0.1713331870615207,333.3333333333333,0.829,10000
209,ws,0.0,0.0,0.3,uniform,9,4,True,0.22189253599751238,250.0,0.492,4000
210,ws,0.0,0.0,0.3,uniform,10,4,True,0.2373832660511201,250.0,0.383,1000
211,ws,0.0,0.0,0.3,uniform,11,4,True,0.2335768002740417,250.0,0.43,1000
212,ws,0.0,0.0,0.3,uniform,12,4,True,0.2143496484421217,250.0,0.574,3000
213,ws,0.0,0.0,0.3,uniform,13,4,True,0.2088756934517982,250.0,0.463,2000
214,ws,0.0,0.0,0.3,uniform,14,4,True,0.21234984793379993,250.0,0.547,4000
215,ws,0.0,0.0,0.3,uniform,15,4,True,0.21559259397145614,250.0,0.448,2000
216,ws,0.0,0.0,0.3,uniform,16,3,True,0.14017037179989147,333.3333333333333,0.879,9000
217,ws,0.0,0.0,0.3,uniform,17,4,True,0.19244941002193308,250.0,0.632,3000
218,ws,0.0,0.0,0.3,uniform,18,4,True,0.20401097788939684,250.0,0.506,4000
219,ws,0.0,0.0,0.3,uniform,19,4,True,0.20879919931389138,250.0,0.424,2000
220,ws,0.0,0.0,0.3,uniform,20,4,True,0.208856060035508,250.0,0.562,5000
221,ws,0.0,0.0,0.3,uniform,21,4,True,0.1590528853965723,250.0,0.76,7000
222,ws,0.0,0.0,0.3,uniform,22,4,True,0.2291807243333196,250.0,0.35,2000
223,ws,0.0,0.0,0.3,uniform,23,4,True,0.16591708669927693,250.0,0.82,13000
224,ws,0.0,0.0,0.3,uniform,24,4,True,0.2017422130143625,250.0,0.607,3000
225,ws,0.0,0.0,0.3,uniform,25,4,True,0.17617186078448235,250.0,0.745,10000
226,ws,0.0,0.0,0.3,uniform,26,4,True,0.1569848668505298,250.0,0.807,8000
227,ws,0.0,0.0,0.3,uniform,27,4,True,0.2013781258679703,250.0,0.547,6000
228,ws,0.0,0.0,0.3,uniform,28,4,True,0.2003211284895075,250.0,0.455,4000
229,ws,0.0,0.0,0.3,uniform,29,3,True,0.2239904992685627,333.3333333333333,0.489,4000
230,ws,0.0,0.0,0.3,uniform,30,3,True,0.20062039947259694,333.3333333333333,0.674,7000
231,ws,0.0,0.0,0.3,uniform,31,4,True,0.21370318157660478,250.0,0.467,4000
232,ws,0.0,0.0,0.3,uniform,32,4,True,0.2177179331384401,250.0,0.466,2000
233,ws,0.0,0.0,0.3,uniform,33,4,True,0.22601313251140512,250.0,0.408,3000
234,ws,0.0,0.0,0.3,uniform,34,4,True,0.2155089777401859,250.0,0.564,4000
235,ws,0.0,0.0,0.3,uniform,35,4,True,0.16490553331473326,250.0,0.736,7000
236,ws,0.0,0.0,0.3,uniform,36,4,True,0.22558652942547502,250.0,0.434,2000
237,ws,0.0,0.0,0.3,uniform,37,4,True,0.17187897176657552,250.0,0.703,7000
238,ws,0.0,0.0,0.3,uniform,38,4,True,0.20508194897673704,250.0,0.439,3000
